phi; lm
0,005010041621143768; 0,43230421813108466
0,004265384334711353; 0,3663815723807057
0,007247767800787341; 0,32265749358207363
0,007026851707426063; 0,30778669011091164
0,003664039449415346; 0,23080909967804508
0,004723568072064754; 0,1437042760269336
0,004764406434393853; 0,12385683193499053
0,005774021503085536; 0,06100999550736497
0,008362719915169126; 0,5142069150608408
0,012359434308443773; 0,28310806775543595
0,015932706982688005; 0,2578018958988364
0,016668940306520608; 0,41338380486401205
0,014043789874728485; 0,3201634364541178
0,022906924525693872; 0,2909408656501574
0,022100291243097203; 0,2551385540356069
0,02911516228341754; 0,2685199240921088
0,03670318209282086; 0,2600466445481926
0,041620650303422935; 0,18041796376079522
0,046749570478973435; 0,25471928018236145
0,055550124120999356; 0,2559110797229991
0,06257999443637263; 0,2620028021037565
0,07144689781275049; 0,23094863074933603
0,07314370655865898; 0,26195175415084526
0,08202272279497458; 0,22501073286668483
0,07941239517617599; 0,21015169473324158
0,0938045147003233; 0,2747120407802589
0,09344763278952511; 0,23424360594992233
0,10761733449217259; 0,19298596976757598
0,11900367492230118; 0,22096365115987093
0,1295679542440643; 0,22063694426123814
0,13849063223566016; 0,2100125417949349
0,14658431668084088; 0,22198914781391288
0,1484296812719379; 0,2093158695842393
0,15304817593737247; 0,23831752429483832
0,1603754208355787; 0,2221212242635089
0,16744901412776309; 0,20696357991408298
0,1674031844100382; 0,22923682272837465
0,17719871937425447; 0,17469378664099966
0,17623334586475264; 0,21603922530235353
0,18934246017239403; 0,2624009761364653
0,19477837391365066; 0,18750341962489436
0,21498365785328605; 0,20773542496210307
0,24056939602978045; 0,18002319292494717
0,2571404942728416; 0,25516509897112083
0,2597469145174667; 0,2719231209528675
0,2616165300373049; 0,21894215222458047
0,26805908420110824; 0,16820865470313828
0,27398677249317727; 0,1965695360619547
0,2714252996559797; 0,15796707407037203
0,2906392953722402; 0,2321390690112295
0,2916256678668162; 0,18058812360383314
0,29346931825505007; 0,1402262088352385
0,3037700388865967; 0,26798902538183056
0,30741977845326773; 0,20551994380574923
0,31348418450722293; 0,2530012102791761
0,31530627123179245; 0,22311923605147532
0,3409616867129026; 0,16154383397102923
0,3513862458968824; 0,22912111403510882
0,3704483455932578; 0,1204189224662523
0,3708372175545471; 0,1881228014535523
0,383234307452321; 0,1527023285267789
0,38391797188834886; 0,24826749957373573
0,3936345526853955; 0,14653097133947945
0,3947571538898643; 0,3282511337937102
0,403505336113533; 0,14098239917769895
0,41899804950244957; 0,31239325738163426
0,42102151472925975; 0,18464133106499636
0,4280595779259644; 0,18675131311866666
0,44571843872118655; 0,1610667057711509
0,4551146033774339; 0,10615123619459566
0,4687812232071741; 0,07603170645075263
0,4711403948976487; 0,21295252574964563
0,4734776348750207; 0,360532157616434
0,4822851083506634; 0,643578309323618
0,4941867179943764; 0,1359177616095183
0,5018089311091274; 0,28195697044925294
0,5171815645874771; 0,08390057823219821
0,525543597407345; 0,2982134973415983
0,5292269151830422; 0,21942540617880824
0,5374032847075065; 0,09614459989783475
